LOCATION,TIME,Value
GRC,2021-Q1,-1.660602985
GRC,2021-Q2,15.031404564
GRC,2021-Q3,11.655569757
GRC,2021-Q4,8.139441481
HUN,2008-Q1,1.619975965
HUN,2008-Q2,2.379490399
HUN,2008-Q3,1.641729964
HUN,2008-Q4,-2.230229512
HUN,2009-Q1,-7.091517513
HUN,2009-Q2,-7.627793502
HUN,2009-Q3,-7.443095433
HUN,2009-Q4,-4.124368605
HUN,2010-Q1,0.029827822
HUN,2010-Q2,0.79588254
HUN,2010-Q3,1.629586211
HUN,2010-Q4,1.644381188
HUN,2011-Q1,2.526955735
HUN,2011-Q2,1.615175074
HUN,2011-Q3,1.029206759
HUN,2011-Q4,2.320134531
HUN,2012-Q1,-0.388389822
HUN,2012-Q2,-0.963763391
HUN,2012-Q3,-0.85253105
HUN,2012-Q4,-2.212326905
HUN,2013-Q1,-0.256009712
HUN,2013-Q2,1.391686289
HUN,2013-Q3,2.628162392
HUN,2013-Q4,3.651996251
HUN,2014-Q1,4.254211446
HUN,2014-Q2,4.608911352
HUN,2014-Q3,3.976784055
HUN,2014-Q4,3.665299104
HUN,2015-Q1,4.567095185
HUN,2015-Q2,3.322552016
HUN,2015-Q3,3.113079486
HUN,2015-Q4,3.608095302
HUN,2016-Q1,1.356012443
HUN,2016-Q2,2.619261236
HUN,2016-Q3,2.364551123
HUN,2016-Q4,2.193100987
HUN,2017-Q1,4.212270126
HUN,2017-Q2,4.062966508
HUN,2017-Q3,4.464983024
HUN,2017-Q4,5.044363587
HUN,2018-Q1,5.431220808
HUN,2018-Q2,5.164720369
HUN,2018-Q3,5.717192553
HUN,2018-Q4,5.282287919
HUN,2019-Q1,5.139430802
HUN,2019-Q2,4.635871015
HUN,2019-Q3,4.462441126
HUN,2019-Q4,3.990333522
HUN,2020-Q1,1.768339651
HUN,2020-Q2,-13.045853154
HUN,2020-Q3,-4.183064334
HUN,2020-Q4,-3.190839219
HUN,2021-Q1,-1.437426714
HUN,2021-Q2,17.601893902
HUN,2021-Q3,6.533096595
HUN,2021-Q4,7.148610678
ISL,2008-Q1,6.07380934
ISL,2008-Q2,4.071273022
ISL,2008-Q3,-1.076496937
ISL,2008-Q4,0.021443322
ISL,2009-Q1,-7.375694711
ISL,2009-Q2,-10.205126783
ISL,2009-Q3,-3.736742223
ISL,2009-Q4,-9.122327258
ISL,2010-Q1,-5.216354137
ISL,2010-Q2,-1.076424293
ISL,2010-Q3,-4.476266226
ISL,2010-Q4,-0.555381275
ISL,2011-Q1,1.4019793
ISL,2011-Q2,0.224082083
ISL,2011-Q3,4.05980913
ISL,2011-Q4,1.725537588
ISL,2012-Q1,2.625104086
ISL,2012-Q2,1.303316363
ISL,2012-Q3,0.151768101
ISL,2012-Q4,0.259147602
